ROI_Type,Y,X
Bleach,242,233
Bleach,242,234
Bleach,242,235
Bleach,242,236
Bleach,242,237
Bleach,242,238
Bleach,242,239
Bleach,242,240
Bleach,243,233
Bleach,243,234
Bleach,243,235
Bleach,243,236
Bleach,243,237
Bleach,243,238
Bleach,243,239
Bleach,243,240
Bleach,243,241
Bleach,244,234
Bleach,244,235
Bleach,244,236
Bleach,244,237
Bleach,244,238
Bleach,244,239
Bleach,244,240
Bleach,244,241
Bleach,244,242
Bleach,245,235
Bleach,245,236
Bleach,245,237
Bleach,245,238
Bleach,245,239
Bleach,245,240
Bleach,245,241
Bleach,245,242
Bleach,246,236
Bleach,246,237
Bleach,246,238
Bleach,246,239
Bleach,246,240
Bleach,246,241
Bleach,246,242
Bleach,247,237
Bleach,247,238
Bleach,247,239
Bleach,247,240
Bleach,247,241
Bleach,247,242
Bleach,247,243
Bleach,248,238
Bleach,248,240
Bleach,248,241
Bleach,248,242
Bleach,248,243
Bleach,248,244
Bleach,249,241
Bleach,249,242
Bleach,249,243
Bleach,249,244
Bleach,249,245
Bleach,250,242
Bleach,250,243
Bleach,250,244
Bleach,251,243
Reference_BBox_Y_Min,0,
Reference_BBox_Y_Max,511,
Reference_BBox_X_Min,,0
Reference_BBox_X_Max,,511
