ROI_Type,Y,X
Bleach,123,211
Bleach,123,212
Bleach,123,213
Bleach,123,214
Bleach,123,215
Bleach,123,216
Bleach,123,217
Bleach,123,218
Bleach,123,219
Bleach,123,220
Bleach,123,221
Bleach,123,222
Bleach,123,223
Bleach,123,224
Bleach,123,225
Bleach,123,226
Bleach,123,227
Bleach,123,228
Bleach,124,165
Bleach,124,166
Bleach,124,167
Bleach,124,184
Bleach,124,185
Bleach,124,186
Bleach,124,187
Bleach,124,188
Bleach,124,189
Bleach,124,190
Bleach,124,191
Bleach,124,192
Bleach,124,193
Bleach,124,194
Bleach,124,195
Bleach,124,196
Bleach,124,197
Bleach,124,198
Bleach,124,199
Bleach,124,200
Bleach,124,201
Bleach,124,202
Bleach,124,203
Bleach,124,204
Bleach,124,205
Bleach,124,206
Bleach,124,207
Bleach,124,208
Bleach,124,209
Bleach,124,210
Bleach,124,211
Bleach,124,212
Bleach,124,213
Bleach,124,214
Bleach,124,215
Bleach,124,216
Bleach,124,217
Bleach,124,218
Bleach,124,219
Bleach,124,220
Bleach,124,221
Bleach,124,222
Bleach,124,223
Bleach,124,224
Bleach,124,225
Bleach,124,226
Bleach,124,227
Bleach,124,228
Bleach,125,164
Bleach,125,165
Bleach,125,166
Bleach,125,167
Bleach,125,183
Bleach,125,184
Bleach,125,185
Bleach,125,186
Bleach,125,187
Bleach,125,188
Bleach,125,189
Bleach,125,190
Bleach,125,191
Bleach,125,192
Bleach,125,193
Bleach,125,194
Bleach,125,195
Bleach,125,196
Bleach,125,197
Bleach,125,198
Bleach,125,199
Bleach,125,200
Bleach,125,201
Bleach,125,202
Bleach,125,203
Bleach,125,204
Bleach,125,205
Bleach,125,206
Bleach,125,207
Bleach,125,208
Bleach,125,209
Bleach,125,210
Bleach,125,211
Bleach,125,212
Bleach,125,213
Bleach,125,214
Bleach,125,215
Bleach,125,216
Bleach,125,217
Bleach,125,218
Bleach,125,219
Bleach,125,220
Bleach,125,221
Bleach,125,222
Bleach,125,223
Bleach,125,224
Bleach,125,225
Bleach,125,226
Bleach,125,227
Bleach,125,228
Bleach,126,163
Bleach,126,164
Bleach,126,165
Bleach,126,166
Bleach,126,167
Bleach,126,168
Bleach,126,182
Bleach,126,183
Bleach,126,184
Bleach,126,185
Bleach,126,186
Bleach,126,187
Bleach,126,188
Bleach,126,189
Bleach,126,190
Bleach,126,191
Bleach,126,192
Bleach,126,193
Bleach,126,194
Bleach,126,195
Bleach,126,196
Bleach,126,197
Bleach,126,198
Bleach,126,199
Bleach,126,200
Bleach,126,201
Bleach,126,202
Bleach,126,203
Bleach,126,204
Bleach,126,205
Bleach,126,206
Bleach,126,207
Bleach,126,208
Bleach,126,209
Bleach,126,210
Bleach,126,211
Bleach,126,212
Bleach,126,213
Bleach,126,214
Bleach,126,215
Bleach,126,216
Bleach,126,217
Bleach,126,218
Bleach,126,219
Bleach,126,220
Bleach,126,221
Bleach,126,222
Bleach,126,223
Bleach,126,224
Bleach,126,225
Bleach,126,226
Bleach,126,227
Bleach,126,228
Bleach,126,229
Bleach,127,162
Bleach,127,163
Bleach,127,164
Bleach,127,165
Bleach,127,166
Bleach,127,167
Bleach,127,181
Bleach,127,182
Bleach,127,183
Bleach,127,184
Bleach,127,185
Bleach,127,186
Bleach,127,187
Bleach,127,188
Bleach,127,189
Bleach,127,190
Bleach,127,191
Bleach,127,192
Bleach,127,193
Bleach,127,194
Bleach,127,195
Bleach,127,196
Bleach,127,197
Bleach,127,198
Bleach,127,199
Bleach,127,200
Bleach,127,201
Bleach,127,202
Bleach,127,203
Bleach,127,204
Bleach,127,205
Bleach,127,206
Bleach,127,207
Bleach,127,208
Bleach,127,209
Bleach,127,210
Bleach,127,211
Bleach,127,212
Bleach,127,213
Bleach,127,214
Bleach,127,215
Bleach,127,216
Bleach,127,217
Bleach,127,218
Bleach,127,219
Bleach,127,220
Bleach,127,221
Bleach,127,222
Bleach,127,223
Bleach,127,224
Bleach,127,225
Bleach,127,226
Bleach,127,227
Bleach,127,228
Bleach,127,229
Bleach,128,163
Bleach,128,164
Bleach,128,165
Bleach,128,166
Bleach,128,167
Bleach,128,177
